010409;ABBOTIC 125 MG / 5ML GRANUL 60ML SYR;BTL;1;BTL;1;194500;169200;Clarithromycin
SYA179;ABBOTIC 125 MG/  5ML GRANUL 30ML SYR;BTL;1;BTL;1;121500;105700;Clarithromycin
SYA142;ABBOTIC 250 MG/  5ML GRANUL SYR;BTL;1;BTL;1;260000;226300;Clarithromycin
TAA076;ABBOTIC 500 TAB;TAB;30;BOX;1;13000;338010;Clarithromycin
00014659;ABBOTIC X.L 500 MG NEW;TAB;10;BOX;1;51000;443000;Clarithromycin
TAA541;AB-VASK 10 MG;TAB;30;BOX;1;12500;321450;Amlodipine
TAA57;AB-VASK 5 MG;TAB;30;BOX;1;7000;184800;Amlodipine
TAA786;ACARBOSE 100 MG TAB;TAB;100;BOX;1;1150;91000;Acarbose
TAA785;ACARBOSE 50 MG TAB;TAB;100;BOX;1;850;67000;Acarbose
00015328;ACCU CHECK INSTANT 50 STR;BOX;1;BOX;1;199000;173000;Alat Kesehatan
00014959;ACCU CHECK INSTANT PACKET;PCS;1;PCS;1;480500;418000;Alat Kesehatan
TAA890;ACCU-CHEK ACTIVE 25 STR;BTL;1;BTL;1;172500;150000;Alat Kesehatan
TAA157;ACCU-CHEK ACTIVE 50 STR;BTL;1;BTL;1;240500;209000;Alat Kesehatan
TAAC159;ACCU-CHEK SOFTCLIK @ 25;BOX;1;BOX;1;32000;25500;Alat Kesehatan
LLA053;ACCU-CHEK SOFTCLIX @ 100;BOX;1;BOX;1;117500;102000;Alat Kesehatan
LLA976;ACE MAXS 350 ML;BTL;1;BTL;1;176000;153000;Herbal
011879;ACETIN 600 MG EFF;TUBE;1;TUBE;1;111500;97000;Acetylcysteine
TAA631;ACETYLCYSTEINE 200 MG TAB NOVELL;TAB;100;BOX;1;1300;90500;Acetylcysteine
LLAC01;ACIFAR CRM;TUBE;1;TUBE;1;6500;4750;Acyclovir
TAA90;ACIFAR TAB 200 MG;TAB;100;BOX;1;500;40800;Acyclovir
TAA966;ACIFAR TAB 400 MG;TAB;30;BOX;1;1050;25500;Acyclovir
SYA032;ACITRAL SYR 120 ML;BTL;1;BTL;1;33500;27800;Aluminium hyroxide
1100001854;ACITRAL TAB 10X10;TAB;100;BOX;1;1150;91500;Aluminium hyroxide
TAA584;ACLONAC 25 MG TAB;TAB;30;BOX;1;1000;24750;Kalium diklofenak
TAA963;ACLONAC 50 MG TAB;TAB;30;BOX;1;1200;29100;Kalium diklofenak
LLS465;ACLONAC EMULGEL 20 GR;TUBE;1;TUBE;1;30500;24200;Kalium diklofenak
LLA093;ACNE FELDIN LOT 110 ML;BTL;1;BTL;1;38000;33050;Precipitated Sulfur
LLA048;ACNOL LOTION;BTL;12;BOX;1;15000;147000;Sulfur
TAA261;ACPULSIF 5 MG TAB;TAB;100;BOX;1;4700;375000;Cisapride
SYA026;ACTIFED HIJAU SYP (K);BTL;1;BTL;1;58000;50500;Triprolidine HCl
SYA034;ACTIFED KUNING SYP (K);BTL;1;BTL;1;58000;50500;Triprolidine HCl
SYA027;ACTIFED MERAH SYP (K);BTL;1;BTL;1;58000;50500;Triprolidine HCl
TAA122;ACTONEL 35 MG TAB;TAB;4;BOX;1;139500;485400;Risedronate
TAA104;ACTOS TAB 15 MG;TAB;14;BOX;1;9000;110012;Pioglitazone
TAA102;ACTOS TAB 30 MG;TAB;14;BOX;1;12700;155008;Pioglitazone
TAA986;ACYCLOVIR 200 MG NOVEL;TAB;100;BOX;1;800;56000;Acyclovir
1100001687;ACYCLOVIR 400 MG HEXPHARM 100;TAB;50;BOX;1;1250;49500;Acyclovir
TAA208;ACYCLOVIR 400 MG NOVEL;TAB;50;BOX;1;900;36000;Acyclovir
TAA024;ACYCLOVIR 400 MG TAB INDO;TAB;100;BOX;1;1150;90000;Acyclovir
00013942;ACYCLOVIR CREAM ERELA;TUBE;1;TUBE;1;4500;3350;Acyclovir
LLA077;ACYCLOVIR CREAM KF;TUBE;1;TUBE;1;4550;3500;Acyclovir
TAA194;ADALAT OROS 20 MG;TAB;30;BOX;1;8200;213150;Nifedipine
